external_id,provider_external_id,provider_name,provider_match,parent_provider_canonical,resource_name,legacy_schema_category,category,current_app_category,subcategory,legacy_subcategory,street,city,state,zip,phone,email,website,hours_summary,description,eligibility_notes,service_area,walk_ins_accepted,requires_id,requires_referral,beds_total,beds_available,availability_status,verification_status,is_active,source_urls,source_type,confidence,lat,lng,geocode_status,is_map_ready,import_priority,import_status,import_notes,access_type,geocode_source_url,population_served,provider_type,facility_features,tags
resource_acts_emergency_shelter_temporary_housing,provider_acts,ACTS,ACTS,ACTS,Emergency Shelter / Temporary Housing,shelter,shelter,shelter,emergency,emergency_shelter,4403 W Dr. Martin Luther King Jr Blvd,Tampa,FL,33614,,,https://actsfl.org/,,Emergency shelter / temporary housing candidate identified from public shelter listings.,Confirm intake rules and program naming before import.,Hillsborough County,true,,,unknown,pending,true,https://actsfl.org/,county_directory + official,medium,28.00619,-82.50598,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,nonprofit,,
resource_cove_community_housing_solutions_center_emergency_shelter_temporary_housing,provider_cove_community_housing_solutions_center,Cove Community Housing Solutions Center,Cove Community Housing Solutions Center,Cove Community Housing Solutions Center,Emergency Shelter / Temporary Housing,shelter,shelter,shelter,emergency,emergency_shelter,5623 E Broadway Ave,Tampa,FL,33619,,,https://covebhs.com/housing-solutions-center/,,Emergency housing solutions center candidate.,Confirm service model and intake requirements before import.,Hillsborough County,true,,,unknown,pending,true,https://covebhs.com/housing-solutions-center/,county_directory + official,medium,27.93536,-82.37841,zip_centroid_estimate,true,medium,ready_for_import,,physical_site,,general,nonprofit,,
resource_mary_and_martha_house_shelter_for_women_and_children,provider_mary_and_martha_house,Mary & Martha House,Mary & Martha House,Mary & Martha House,Shelter for Women and Children,shelter,shelter,shelter,family,women_children_shelter,,,,FL,,,,https://marymarthahouse.org/,,Shelter for women and children candidate.,Address/intake details must be verified before map import.,Hillsborough County,false,,,unknown,pending,true,https://marymarthahouse.org/,county_directory + official,medium,,,confidential_no_map,false,medium,needs_review,Potential confidential/sensitive shelter. Do not map until verified.,confidential_phone_web,,"women,children",nonprofit,,confidential_location
resource_metropolitan_ministries_emergency_shelter_temporary_housing,provider_metropolitan_ministries,Metropolitan Ministries,Metropolitan Ministries,Metropolitan Ministries,Emergency Shelter / Temporary Housing,shelter,shelter,shelter,emergency,emergency_shelter,2002 N Florida Ave,Tampa,FL,33602,813-209-1000,,https://www.metromin.org/,,Emergency shelter / housing support candidate.,Confirm program-specific intake and bed availability before import.,Hillsborough County,true,,,unknown,pending,true,https://www.metromin.org/,county_directory + official,medium,27.9614,-82.4597,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,"nonprofit,faith_based",
resource_salvation_army_tampa_red_shield_center,provider_salvation_army_tampa,Salvation Army Tampa,Salvation Army Tampa,Salvation Army Tampa,Red Shield Center,shelter,shelter,shelter,emergency,emergency_shelter,1603 N Florida Ave,Tampa,FL,33602,,,https://salvationarmyflorida.org/tampa/,,Emergency shelter / Red Shield Center candidate.,Confirm intake process and current shelter operations before import.,Hillsborough County,true,,,unknown,pending,true,https://salvationarmyflorida.org/tampa/,county_directory + official,medium,27.9614,-82.4597,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,faith_based,,
resource_salvation_army_tampa_recuperative_care_program,provider_salvation_army_tampa,Salvation Army Tampa,Salvation Army Tampa,Salvation Army Tampa,Recuperative Care Program,medical,medical,medical,recuperative_care,recuperative_care,1603 N Florida Ave,Tampa,FL,33602,,,https://salvationarmyflorida.org/tampa/,,Medical recuperative care candidate.,Confirm eligibility/referral requirements before import.,Hillsborough County,false,true,true,unknown,pending,true,https://salvationarmyflorida.org/tampa/,county_directory + official,medium,27.9614,-82.4597,zip_centroid_estimate,true,medium,ready_for_import,,physical_site,,general,faith_based,,
resource_careersource_tampa_bay_brandon_center,provider_careersource_tampa_bay,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Brandon Center,work_exchange,employment,work_exchange,career_center,career_center,9350 Bay Plaza Blvd,Tampa,FL,33619,813-930-7400,,https://www.careersourcetampabay.com/,,Career center / employment resource.,Verify hours and exact services before import.,Hillsborough County,true,,,unknown,pending,true,https://www.careersourcetampabay.com/locations/,official,high,27.93536,-82.37841,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,government,,walk_in_friendly
resource_careersource_tampa_bay_ruskin_center,provider_careersource_tampa_bay,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Ruskin Center,work_exchange,employment,work_exchange,career_center,career_center,,Ruskin,FL,33570,813-930-7400,,https://www.careersourcetampabay.com/,,Career center / employment resource.,Verify address and hours before import.,Hillsborough County,true,,,unknown,pending,true,https://www.careersourcetampabay.com/locations/,official,high,27.69354,-82.45861,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,government,,walk_in_friendly
resource_careersource_tampa_bay_plant_city_center,provider_careersource_tampa_bay,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Plant City Center,work_exchange,employment,work_exchange,career_center,career_center,,Plant City,FL,33563,813-930-7400,,https://www.careersourcetampabay.com/,,Career center / employment resource.,Verify address and hours before import.,Hillsborough County,true,,,unknown,pending,true,https://www.careersourcetampabay.com/locations/,official,high,28.01694,-82.12544,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,government,,walk_in_friendly
resource_feeding_tampa_bay_trinity_cafe_nebraska,provider_feeding_tampa_bay,Feeding Tampa Bay,Feeding Tampa Bay,Feeding Tampa Bay,Trinity Cafe Nebraska,food,food,food,hot_meal,free_meal,2801 N Nebraska Ave,Tampa,FL,33602,,,https://feedingtampabay.org/,,Free meal service candidate.,Confirm current meal schedule before import.,Hillsborough County,true,,,unknown,pending,true,https://feedingtampabay.org/,county_directory + official,medium,27.9614,-82.4597,zip_centroid_estimate,true,high,ready_for_import,,physical_site,,general,nonprofit,,walk_in_friendly
